Typ;Name;Zeiteinheiten;Adresse
Restaurant;Shaky Shake;3;Lingelgasse 13 A, 35037 Marburg
Restaurant;Pfeffer und Salz;4;Frankfurter Str. 19, 35037 Marburg
Restaurant;Curry Haus;1;Ketzerbach 9, 35037 Marburg
Bar;Molly Malone;4;Wehrdaer Weg 16A, 35037 Marburg
Restaurant;Tokyo Sushi;2;Elisabethstraße 14, 35037 Marburg
Restaurant;Chevy;2;Cappeler Str. 3, 35039 Marburg
Frisör;Karin Winkler;1;Schützenstraße 30, 35039 Marburg
Frisör;Raby´s Barbershop;3;Biegenstraße 35, 35037 Marburg
Frisör;Healthy Hairclub;2;Zwischenhausen 6, 35037 Marburg
Frisör;Dreamhair;1;Barfüßerstraße 29, 35037 Marburg
Fitness Studio;Lotus Yoga ;1;Neue Kasseler Str. 7A, 35039 Marburg
Fitness Studio;AC 1888 Marburg e.V. - Kraftsportzentrum;2;Bei St. Jost 8, 35039 Marburg
Fitness Studio;Move Sportwelt;3;Willy-Mock-Straße 2, 35037 Marburg
Kino;Cineplex Marburg;4;Biegenstraße 8, 35037 Marburg
Kino;Open Air Kino Marburg;3;Gisonenweg 5, 35037 Marburg
Bar;Sudhaus;4;Steinweg 44, 35037 Marburg
Bar;Hinkelstein;5;Markt 18, 35037 Marburg
Bar;Havanna;3;Am Grün 58, 35037 Marburg
Bar;Campus Bar;2;Reitgasse 5, 35037 Marburg
Arbeit;Shaky Shake;8;Lingelgasse 13 A, 35037 Marburg
Arbeit;Pfeffer und Salz;8;Frankfurter Str. 19, 35037 Marburg
Arbeit;Curry Haus;8;Ketzerbach 9, 35037 Marburg
Arbeit;Molly Malone;8;Wehrdaer Weg 16A, 35037 Marburg
Arbeit;Tokyo Sushi;8;Elisabethstraße 14, 35037 Marburg
Arbeit;Chevy;8;Cappeler Str. 3, 35039 Marburg
Arbeit;Karin Winkler;8;Schützenstraße 30, 35039 Marburg
Arbeit;Raby´s Barbershop;8;Biegenstraße 35, 35037 Marburg
Arbeit;Healthy Hairclub;8;Zwischenhausen 6, 35037 Marburg
Arbeit;Dreamhair;8;Barfüßerstraße 29, 35037 Marburg
Arbeit;Lotus Yoga ;8;Neue Kasseler Str. 7A, 35039 Marburg
Arbeit;AC 1888 Marburg e.V. - Kraftsportzentrum;8;Bei St. Jost 8, 35039 Marburg
Arbeit;Move Sportwelt;8;Willy-Mock-Straße 2, 35037 Marburg
Arbeit;Cineplex Marburg;8;Biegenstraße 8, 35037 Marburg
Arbeit;Open Air Kino Marburg;8;Gisonenweg 5, 35037 Marburg
Arbeit;Sudhaus;8;Steinweg 44, 35037 Marburg
Arbeit;Hinkelstein;8;Markt 18, 35037 Marburg
Arbeit;Havanna;8;Am Grün 58, 35037 Marburg
Arbeit;Campus Bar;8;Reitgasse 5, 35037 Marburg
Uni ;Philips Universität;4;Biegenstraße 10, 35037 Marburg
Uni ;Fachschaft Wirtschaftswissenschaften;6;Barfüßertor 2, 35037 Marburg
Uni ;Psychologisches Institut;7;Jägerstraße 1, 35037 Marburg
Uni ;Fachbereich Informatik & Mathe;9;Hans-Meerwein-Straße 1, 35043 Marburg
Uni ;Fachbereich Biologie;4;Karl-von-Frisch-Straße 1, 35043 Marburg
Uni ;Fachbereich Pharmazie;3;Wilhelm-Roser-Straße 2, 35037 Marburg
Bibliothek;Universitätsbibliothek;7;Wilhelm-Röpke-Straße 4, 35039 Marburg
Bibliothek;Stadtbücherei;3;Ketzerbach 1, 35037 Marburg
Sehenswürdigkeit;Spiegellustturm;1;Hermann-Bauer-Weg 2, 35043 Marburg
Sehenswürdigkeit;Botanischer Garten;2;Karl-von-Frisch-Str., 35032 Marburg
Sehenswürdigkeit;Kalbstor;1;Sybelstraße 17, 35037 Marburg
Sehenswürdigkeit;Grimm Dich Pfad;3;Landgraf-Philipp-Straße 3, 35037 Marburg
Sehenswürdigkeit;Landgrafenschloss;3;35037 Marburg
Sehenswürdigkeit;Garten des Gedenkens;1;Universitätsstraße 13, 35037 Marburg
